Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
Eritrea,Africa,9757,275.122,2,0.056,0,103,2.904,0,0,0
Vanuatu,Western Pacific,9095,2961.142,330,107.441,45,14,4.558,0,0,0
Niger,Africa,9031,37.308,0,0,0,310,1.281,0,0,0
Saint Vincent and the Grenadines,Americas,8717,7857.4,76,68.505,21,107,96.449,1,0.901,1
Bonaire,Americas,8594,41090.127,39,186.469,39,30,143.438,0,0,0
Guinea-Bissau,Africa,8260,419.715,0,0,0,171,8.689,0,0,0
Antigua and Barbuda,Americas,8163,8335.631,181,184.828,44,138,140.918,0,0,0
Comoros,Africa,8120,933.762,0,0,0,160,18.399,0,0,0
Sierra Leone,Africa,7682,96.302,0,0,0,125,1.567,0,0,0
Liberia,Africa,7456,147.419,1,0.02,0,294,5.813,0,0,0
Chad,Africa,7417,45.154,0,0,0,193,1.175,0,0,0
British Virgin Islands,Americas,6765,22373.251,75,248.04,0,62,205.047,0,0,0
American Samoa,Western Pacific,6145,11132.851,35,63.409,0,31,56.162,0,0,0
Turks and Caicos Islands,Americas,6123,15814.35,26,67.152,0,36,92.98,0,0,0
Sao Tome and Principe,Africa,5970,2724.05,0,0,0,73,33.309,0,0,0
Saint Kitts and Nevis,Americas,5729,10770.417,41,77.079,10,43,80.839,0,0,0
Cook Islands,Western Pacific,5657,32207.925,58,330.221,0,1,5.693,0,0,0
Palau,Western Pacific,5065,27995.799,45,248.729,22,6,33.164,0,0,0
Saint Barthélemy,Americas,4594,46474.456,23,232.676,0,4,40.465,0,0,0
Anguilla,Americas,3203,21350.487,0,0,0,9,59.992,0,0,0
Kiribati,Western Pacific,3098,2593.576,0,0,0,13,10.883,0,0,0
Saint Pierre and Miquelon,Americas,2748,47420.19,0,0,0,1,17.256,0,0,0
Falkland Islands (Malvinas),Americas,1702,48865.92,39,1119.724,0,0,0,0,0,0
Montserrat,Americas,975,19503.901,60,1200.24,0,6,120.024,2,40.008,0
Sint Eustatius,Americas,924,29436.126,0,0,0,5,159.286,0,0,0
Other,Other,764,,0,,0,13,,0,,0
Saba,Americas,605,31298.5,8,413.864,8,0,0,0,0,0
Wallis and Futuna,Western Pacific,454,4036.991,0,0,0,7,62.244,0,0,0
Micronesia (Federated States of),Western Pacific,30,26.082,0,0,0,0,0,0,0,0
Holy See,Europe,26,3213.844,0,0,0,0,0,0,0,0
Marshall Islands,Western Pacific,17,28.719,0,0,0,0,0,0,0,0
Niue,Western Pacific,9,556.242,0,0,0,0,0,0,0,0
Nauru,Western Pacific,3,27.691,0,0,0,0,0,0,0,0
Tuvalu,Western Pacific,3,25.441,0,0,0,0,0,0,0,0
Democratic People's Republic of Korea,South-East Asia,0,0,0,0,0,0,0,0,0,0
Pitcairn Islands,Western Pacific,0,0,0,0,0,0,0,0,0,0
Saint Helena,Africa,0,0,0,0,0,0,0,0,0,0
Tokelau,Western Pacific,0,0,0,0,0,0,0,0,0,0
Turkmenistan,Europe,0,0,0,0,0,0,0,0,0,0
